Típus;Teljesítmény;Ár;Darabszám;Leírás
Bugatti Veyron Vivere By Mansory;1200;3.4;2;A Bugatti Veyron a Bugatti cég legnépszerűbb modellje. A Chiron elődje óriási ikonnak számít, a Mansory változat pedig azért különleges, mert technikailag nem a Bugatti gyártotta. A Vivere By Mansory a Mansory tuningcég által készült.
W Motors Lykan Hypersport;780;3.4;7;A Lykan Hypersport 2013-ban lett bemutatva, a dubai cég első autójaként került a piacra. A kocsirajongók izgatottan várták, ugyanis ez volt az első szupersport autó, amelyet Közel-Keleten gyártottak. Megjelenésekor a 3. legdrágább gyártásban levő autóként indult, azonban a pénzért cserébe olyan extrákat is kaptál, mint például a hologramos kijelző és a gyémánttal kiegészített LED lámpák.
Pagani Huayra Roadster BC;745;3.5;40;A Huayra Roadster BC a Huayra pályaorientált változata. Az autó a 2016-os Geneva Motor Show-on lett bemutatva, és az is kiderült, hogy nemcsak a karosszéria, hanem a motor is komoly változtatásokon esett keresztül. Az autó az össztömege mindössze 1218 kilogramm.
Bugatti Chiron Pur Sport;1500;3.6;60;Akinek a Chiron nem elég különleges, azoknak a Chiron Pur Sport tökéletes választás lesz. Ez az autó a Chironnak egy olyan speciális változata, amely az aerodinamikára és a súlycsökkentésre fókuszál. A váltó szintén módosításokon esett át, a motor viszont ugyanaz maradt. Ez nem kellene problémát okozzon, ugyanis az 1500 lóerős motor egy 50 kg-al könnyebb karosszéria alatt még nagyobb csodákra képes.
Lamborghini Sián;800;3.6;63;A Lamborghini Sián 2019 utolsó felében került bemutatásra. Az autó a speciális modern külsőn kívül villanymotorral rendelkezik, így a Sián a Lamborghini első hibrid autója. Ez a motor csupán 34 lóerős, viszont a 770 lovas benzinmotornak köszönhetően az autó több, mint 800 lóerős összteljesítményre képes. Ennek a megoldásnak hála a Sián parkoláskor és alacsony sebességnél is remekül kezelhető.
Bugatti Chiron Super Sport 300+;1578;3.9;30;A Chiron Super Sport 300+ a Bugatti rekordot döntő autójának a közúti vezetésre alkalmas változata. A Bugatti 2019-ben 300 mph (484 km/h)-s sebességrekordot döntött meg. Az autó ennek az emlékére lett tervezve, a gyártás pedig 2021-ben kezdődik. A standard modellhez képest a Chiron Super Sport 300+ egyedi karosszériával és festéssel rendelkezik.
Lamborghini Veneno;750;4.5;14;A Veneno a legdrágább Lamborghini, amit vásárolni lehet. Az autót az Aventador alapjára készítették, és 2014-2015 között gyártották. A 14 gyártott darabból egy a Lamborghini múzeumba került, a többi pedig dúsgazdag vásárlók gyűjteményét bővíti. A motor szintén az Aventadorból származik, viszont komoly átalakításon esett át, így 40 lóerővel többet produkál. Az autó különlegessége, hogy rengeteg légbeömlő díszíti, a karosszériája pedig nagyon könnyű szénszálas műanyagból készült.
Koenigsegg CCXR Trevita;1004;4.8;3;A Koenigsegg CCXR Trevita a svéd gyártónak az egyik legexkluzívabb modellje. A „pislákoló gyémánt” névre hallgató Koenigsegg gyémánttal borított szénszálas kasztnival rendelkezik, ez alatt pedig egy 1004 lóerős V8-as motor lapul. Részben azért volt ennyire limitált, mert a gyémánttal díszített kasztnit nagyon nehéz volt legyártani.
Pagani Huayra Imola;827;5.4;5;A Pagani az egyik legikonikusabb szupersport autógyártó, részben azért, mert csak különleges és limitált autókat gyárt. Az Imola az egyik legfrisebb bejelentésük, ami a Huayra modellnek egy továbbfejlesztett változatát képezi. Ez az autó 827 lóerős, V12-es AMG motorral van felszerelve, így a történelem leggyorsabb Pagani modelljéről beszélünk. A pénzért olyan extrákat kap a vásárló, mint például a különleges fényezés és a speciális acél kasztni.
Bugatti Divo;1500;5.8;40;A Divo a Bugatti egyik legújabb bejelentése. Az autó külsőre és belsőre is hasonlít a Chironra, viszont rengeteg fejlesztésen esett át, ezért tulajdonképpen egy teljesen új autóról beszélünk. A Chironhoz képest a Divo könnyebb elemekkel, egyedi aerodinamikával és fejlesztett kipufogórendszerrel rendelkezik, azonban változatlan, 1500 lóerős motor kerül bele.
